Name,Age,Hometown,Job category,Race,Place,Season ,
Michelle Money,30,West,BEAUTY,White,5,15,
Britt Billmaier[9],25,Mid atlantic,WRITER,White,6,15,
Jackie Gordon[15],26,East,ART,White,7,15,
"Allison ""Alli"" Travis[17]",24,Midwest,SALES,White,8,15,
Lisa Morrisey[18],24,Midwest,MARKETING,White,9,15,
Marissa May[20],26,Southwest,PR,White,9,15,
Ashley Spivey[21],26,Mid atlantic,NANNY,White,11,15,
Lindsay Hill[22],25,Southwest,TEACHER,White,12,15,
Meghan Merritt,30,East,MARKETING,White,12,15,
Stacey Quirpel,26,East,RESTAURANT JOB,White,12,15,
Kimberly Coon[24],27,South,MARKETING,White,15,15,
Sarah Powell[26],27,West,REALTOR,White,15,15,
Madison Garton[27],25,West,ACTRESS/MODEL,White,15,15,
Keltie Busch[28],28,Canada,DANCER,White,18,15,
Melissa Schreiber[30],32,East,RESTAURANT JOB,White,18,15,
Raichel Goodyear[30],29,West,ART,White,18,15,
Britnee Marks[30],25,Mid atlantic,LAWYER,White,21,15,
Cristy Caserta[32],30,South,LAWYER,White,21,15,
"Jessica ""J"" Adams[9]",26,Northwest,FINANCE,White,21,15,
Jill Ruskowski[22],28,South,MARKETING,White,21,15,
Lacey Garbelman[33],27,South,FINANCE,White,21,15,
Lauren Moore[34],26,Mid atlantic,TEACHER,White,21,15,
Lisa Pastrich,27,East,SALES,White,21,15,
Rebecca,30,West,BEAUTY,White,21,15,
Renee Halpin,28,Midwest,NANNY,White,21,15,
Sarah Ledtke[35],25,Midwest,ART,White,21,15,
Courtney Robertson[7][8],28,Southwest,ACTRESS/MODEL,White,1,16,
Lindzi Cox[9],27,South,FINANCE,White,2,16,
Nicki Sterling[7],26,South,MEDICAL,White,3,16,
Kacie Boguskie[10],24,South,ASSISTANT,White,4,16,
Emily O'Brien[11],27,Mid atlantic,STUDENT,White,5,16,
Rachel Truehart[12],27,East,SALES,White,5,16,
Jamie Otis[13],25,East,MEDICAL,White,7,16,
Casey Shteamer[14],26,Midwest,FINANCE,White,8,16,
Blakeley Jones [11],34,Mid atlantic,RESTAURANT JOB,White,9,16,
Jennifer Fritsch[14],28,South,FINANCE,White,10,16,
Elyse Myers[14],24,Midwest,FITNESS,White,11,16,
Monica Spannbauer[15],33,West,MEDICAL,White,12,16,
Samantha Levey[16][17],26,East,MARKETING,White,13,16,
Erika Uhlig[18],23,Mid atlantic,STUDENT,White,14,16,
Jaclyn Swartz[19],27,East,MARKETING,White,14,16,
Brittney Schreiner[7],26,West,STUDENT,White,16,16,
Jenna Burke[20][21],27,Midwest,ART,White,17,16,
Shawn Reynolds[22],28,Midwest,FINANCE,White,17,16,
Amber Bacon[23],23,Canada,MEDICAL,White,19,16,
Amber Tierney[24][25],28,Midwest,MEDICAL,White,19,16,
Anna Snowball[20][26],25,Midwest,STUDENT,White,19,16,
Dianna Martinez[17],30,West,FINANCE,Hispanic,19,16,
Holly Johnson[24],34,South,SALES,White,19,16,
Lyndsie James[24],29,International,FINANCE,White,19,16,
Shira Astrof[17],35,East,ACTRESS/MODEL,White,19,16,
Catherine Giudici[14],26,Northwest,ART,Asian,1,17,
Lindsay Yenter[15],24,Midwest,TEACHER,White,2,17,
AshLee Frazier[16],32,South,BEAUTY,White,3,17,
Desiree Hartsock[17],26,West,BEAUTY,White,4,17,
